id,box_id,device_type,false_character,hold_for,key_pressed,location,long_pressed_equivalent,name,platform,pressed_after,timestamp,user_id
5415,#text-area-1,Computer/Laptop,t,145,t,84,2,Angilat,Win32,0,1585770919187,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5416,#text-area-1,Computer/Laptop,t,103,i,73,1,Angilat,Win32,1354,1585770920686,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5417,#text-area-1,Computer/Laptop,t,123,s,83,2,Angilat,Win32,111,1585770920900,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5418,#text-area-1,Computer/Laptop,t,134,i,73,1,Angilat,Win32,218,1585770921241,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5419,#text-area-1,Computer/Laptop,t,131,s,83,2,Angilat,Win32,0,1585770921376,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5420,#text-area-1,Computer/Laptop,t,166,a,65,2,Angilat,Win32,203,1585770921711,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5421,#text-area-1,Computer/Laptop,t,108,p,80,1,Angilat,Win32,473,1585770922350,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5422,#text-area-1,Computer/Laptop,t,125,a,65,1,Angilat,Win32,0,1585770922458,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5423,#text-area-1,Computer/Laptop,t,127,a,65,2,Angilat,Win32,110,1585770922693,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5424,#text-area-1,Computer/Laptop,t,71,g,71,1,Angilat,Win32,233,1585770923053,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5425,#text-area-1,Computer/Laptop,t,103,Backspace,8,1,Angilat,Win32,896,1585770924231,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5426,#text-area-1,Computer/Laptop,t,55,Backspace,8,1,Angilat,Win32,108,1585770924443,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5427,#text-area-1,Computer/Laptop,t,103,Backspace,8,1,Angilat,Win32,319,1585770924817,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5428,#text-area-1,Computer/Laptop,t,79,Backspace,8,1,Angilat,Win32,142,1585770925062,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5429,#text-area-1,Computer/Laptop,t,80,r,82,1,Angilat,Win32,402,1585770925543,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5430,#text-area-1,Computer/Laptop,t,131,a,65,2,Angilat,Win32,66,1585770925689,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5431,#text-area-1,Computer/Laptop,t,72,r,82,1,Angilat,Win32,191,1585770926011,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5432,#text-area-1,Computer/Laptop,t,173,a,65,1,Angilat,Win32,769,1585770926852,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
5433,#text-area-1,Computer/Laptop,t,95,p,80,1,Angilat,Win32,14,1585770927039,75e73de7-9119-4e0b-8c8b-cb17ae3cf1a2
