id,box_id,device_type,false_character,hold_for,key_pressed,location,long_pressed_equivalent,name,platform,pressed_after,timestamp,user_id
15302,#text-area-1,Computer/Laptop,t,38,H,72,1,Kirsty ,iPhone,0,1585910433020,fe450180-e593-4bd7-9c3d-ab85d0256097
15303,#text-area-1,Computer/Laptop,t,18,i,73,1,Kirsty ,iPhone,201,1585910433259,fe450180-e593-4bd7-9c3d-ab85d0256097
15304,#text-area-1,Computer/Laptop,t,21,i,73,1,Kirsty ,iPhone,141,1585910433418,fe450180-e593-4bd7-9c3d-ab85d0256097
15305,#text-area-1,Computer/Laptop,t,20,i,73,1,Kirsty ,iPhone,130,1585910433569,fe450180-e593-4bd7-9c3d-ab85d0256097
15306,#text-area-1,Computer/Laptop,t,12,i,73,1,Kirsty ,iPhone,104,1585910433694,fe450180-e593-4bd7-9c3d-ab85d0256097
15307,#text-area-1,Computer/Laptop,t,20,i,73,1,Kirsty ,iPhone,129,1585910433835,fe450180-e593-4bd7-9c3d-ab85d0256097
15308,#text-area-1,Computer/Laptop,t,17,i,73,1,Kirsty ,iPhone,119,1585910433974,fe450180-e593-4bd7-9c3d-ab85d0256097
15309,#text-area-1,Computer/Laptop,t,21,Backspace,8,1,Kirsty ,iPhone,1466,1585910435457,fe450180-e593-4bd7-9c3d-ab85d0256097
15310,#text-area-1,Computer/Laptop,t,13,Backspace,8,1,Kirsty ,iPhone,481,1585910435959,fe450180-e593-4bd7-9c3d-ab85d0256097
15311,#text-area-1,Computer/Laptop,t,13,Backspace,8,1,Kirsty ,iPhone,102,1585910436075,fe450180-e593-4bd7-9c3d-ab85d0256097
15312,#text-area-1,Computer/Laptop,t,11,Backspace,8,1,Kirsty ,iPhone,199,1585910436323,fe450180-e593-4bd7-9c3d-ab85d0256097
15313,#text-area-1,Computer/Laptop,t,10,Backspace,8,1,Kirsty ,iPhone,169,1585910436504,fe450180-e593-4bd7-9c3d-ab85d0256097
15314,#text-area-1,Computer/Laptop,t,18,!,49,1,Kirsty ,iPhone,972,1585910437486,fe450180-e593-4bd7-9c3d-ab85d0256097
15315,#text-area-1,Computer/Laptop,t,53, ,32,1,Kirsty ,iPhone,346,1585910437850,fe450180-e593-4bd7-9c3d-ab85d0256097
15316,#text-area-1,Computer/Laptop,t,44,H,72,1,Kirsty ,iPhone,3538,1585910441441,fe450180-e593-4bd7-9c3d-ab85d0256097
15317,#text-area-1,Computer/Laptop,t,7,a,65,1,Kirsty ,iPhone,53,1585910441538,fe450180-e593-4bd7-9c3d-ab85d0256097
15318,#text-area-1,Computer/Laptop,t,34,v,86,1,Kirsty ,iPhone,97,1585910441642,fe450180-e593-4bd7-9c3d-ab85d0256097
15319,#text-area-1,Computer/Laptop,t,18,e,69,1,Kirsty ,iPhone,80,1585910441756,fe450180-e593-4bd7-9c3d-ab85d0256097
15320,#text-area-1,Computer/Laptop,t,14, ,32,1,Kirsty ,iPhone,46,1585910441821,fe450180-e593-4bd7-9c3d-ab85d0256097
15321,#text-area-1,Computer/Laptop,t,27,y,89,1,Kirsty ,iPhone,152,1585910441987,fe450180-e593-4bd7-9c3d-ab85d0256097
15322,#text-area-1,Computer/Laptop,t,7,o,79,1,Kirsty ,iPhone,36,1585910442054,fe450180-e593-4bd7-9c3d-ab85d0256097
15323,#text-area-1,Computer/Laptop,t,20,u,85,1,Kirsty ,iPhone,163,1585910442224,fe450180-e593-4bd7-9c3d-ab85d0256097
15324,#text-area-1,Computer/Laptop,t,84, ,32,1,Kirsty ,iPhone,232,1585910442476,fe450180-e593-4bd7-9c3d-ab85d0256097
15325,#text-area-1,Computer/Laptop,t,7,e,69,1,Kirsty ,iPhone,36,1585910442596,fe450180-e593-4bd7-9c3d-ab85d0256097
15326,#text-area-1,Computer/Laptop,t,19,v,86,1,Kirsty ,iPhone,101,1585910442704,fe450180-e593-4bd7-9c3d-ab85d0256097
15327,#text-area-1,Computer/Laptop,t,18,e,69,1,Kirsty ,iPhone,85,1585910442808,fe450180-e593-4bd7-9c3d-ab85d0256097
15328,#text-area-1,Computer/Laptop,t,25,r,82,1,Kirsty ,iPhone,169,1585910442996,fe450180-e593-4bd7-9c3d-ab85d0256097
15329,#text-area-1,Computer/Laptop,t,21, ,32,1,Kirsty ,iPhone,85,1585910443106,fe450180-e593-4bd7-9c3d-ab85d0256097
15330,#text-area-1,Computer/Laptop,t,19,w,87,1,Kirsty ,iPhone,130,1585910443258,fe450180-e593-4bd7-9c3d-ab85d0256097
15331,#text-area-1,Computer/Laptop,t,14,o,79,1,Kirsty ,iPhone,44,1585910443321,fe450180-e593-4bd7-9c3d-ab85d0256097
15332,#text-area-1,Computer/Laptop,t,38,H,72,1,Kirsty ,iPhone,0,1585910433020,fe450180-e593-4bd7-9c3d-ab85d0256097
15333,#text-area-1,Computer/Laptop,t,18,i,73,1,Kirsty ,iPhone,201,1585910433259,fe450180-e593-4bd7-9c3d-ab85d0256097
15334,#text-area-1,Computer/Laptop,t,21,i,73,1,Kirsty ,iPhone,141,1585910433418,fe450180-e593-4bd7-9c3d-ab85d0256097
15335,#text-area-1,Computer/Laptop,t,20,i,73,1,Kirsty ,iPhone,130,1585910433569,fe450180-e593-4bd7-9c3d-ab85d0256097
15336,#text-area-1,Computer/Laptop,t,12,i,73,1,Kirsty ,iPhone,104,1585910433694,fe450180-e593-4bd7-9c3d-ab85d0256097
15337,#text-area-1,Computer/Laptop,t,20,i,73,1,Kirsty ,iPhone,129,1585910433835,fe450180-e593-4bd7-9c3d-ab85d0256097
15338,#text-area-1,Computer/Laptop,t,17,i,73,1,Kirsty ,iPhone,119,1585910433974,fe450180-e593-4bd7-9c3d-ab85d0256097
15339,#text-area-1,Computer/Laptop,t,21,Backspace,8,1,Kirsty ,iPhone,1466,1585910435457,fe450180-e593-4bd7-9c3d-ab85d0256097
15340,#text-area-1,Computer/Laptop,t,13,Backspace,8,1,Kirsty ,iPhone,481,1585910435959,fe450180-e593-4bd7-9c3d-ab85d0256097
15341,#text-area-1,Computer/Laptop,t,13,Backspace,8,1,Kirsty ,iPhone,102,1585910436075,fe450180-e593-4bd7-9c3d-ab85d0256097
15342,#text-area-1,Computer/Laptop,t,11,Backspace,8,1,Kirsty ,iPhone,199,1585910436323,fe450180-e593-4bd7-9c3d-ab85d0256097
15343,#text-area-1,Computer/Laptop,t,10,Backspace,8,1,Kirsty ,iPhone,169,1585910436504,fe450180-e593-4bd7-9c3d-ab85d0256097
15344,#text-area-1,Computer/Laptop,t,18,!,49,1,Kirsty ,iPhone,972,1585910437486,fe450180-e593-4bd7-9c3d-ab85d0256097
15345,#text-area-1,Computer/Laptop,t,53, ,32,1,Kirsty ,iPhone,346,1585910437850,fe450180-e593-4bd7-9c3d-ab85d0256097
15346,#text-area-1,Computer/Laptop,t,44,H,72,1,Kirsty ,iPhone,3538,1585910441441,fe450180-e593-4bd7-9c3d-ab85d0256097
15347,#text-area-1,Computer/Laptop,t,7,a,65,1,Kirsty ,iPhone,53,1585910441538,fe450180-e593-4bd7-9c3d-ab85d0256097
15348,#text-area-1,Computer/Laptop,t,34,v,86,1,Kirsty ,iPhone,97,1585910441642,fe450180-e593-4bd7-9c3d-ab85d0256097
15349,#text-area-1,Computer/Laptop,t,18,e,69,1,Kirsty ,iPhone,80,1585910441756,fe450180-e593-4bd7-9c3d-ab85d0256097
15350,#text-area-1,Computer/Laptop,t,14, ,32,1,Kirsty ,iPhone,46,1585910441821,fe450180-e593-4bd7-9c3d-ab85d0256097
15351,#text-area-1,Computer/Laptop,t,27,y,89,1,Kirsty ,iPhone,152,1585910441987,fe450180-e593-4bd7-9c3d-ab85d0256097
15352,#text-area-1,Computer/Laptop,t,7,o,79,1,Kirsty ,iPhone,36,1585910442054,fe450180-e593-4bd7-9c3d-ab85d0256097
15353,#text-area-1,Computer/Laptop,t,20,u,85,1,Kirsty ,iPhone,163,1585910442224,fe450180-e593-4bd7-9c3d-ab85d0256097
15354,#text-area-1,Computer/Laptop,t,84, ,32,1,Kirsty ,iPhone,232,1585910442476,fe450180-e593-4bd7-9c3d-ab85d0256097
15355,#text-area-1,Computer/Laptop,t,7,e,69,1,Kirsty ,iPhone,36,1585910442596,fe450180-e593-4bd7-9c3d-ab85d0256097
15356,#text-area-1,Computer/Laptop,t,19,v,86,1,Kirsty ,iPhone,101,1585910442704,fe450180-e593-4bd7-9c3d-ab85d0256097
15357,#text-area-1,Computer/Laptop,t,18,e,69,1,Kirsty ,iPhone,85,1585910442808,fe450180-e593-4bd7-9c3d-ab85d0256097
15358,#text-area-1,Computer/Laptop,t,25,r,82,1,Kirsty ,iPhone,169,1585910442996,fe450180-e593-4bd7-9c3d-ab85d0256097
15359,#text-area-1,Computer/Laptop,t,21, ,32,1,Kirsty ,iPhone,85,1585910443106,fe450180-e593-4bd7-9c3d-ab85d0256097
15360,#text-area-1,Computer/Laptop,t,19,w,87,1,Kirsty ,iPhone,130,1585910443258,fe450180-e593-4bd7-9c3d-ab85d0256097
15361,#text-area-1,Computer/Laptop,t,14,o,79,1,Kirsty ,iPhone,44,1585910443321,fe450180-e593-4bd7-9c3d-ab85d0256097
15362,#text-area-1,Computer/Laptop,t,29,n,78,1,Kirsty ,iPhone,136,1585910443474,fe450180-e593-4bd7-9c3d-ab85d0256097
15363,#text-area-1,Computer/Laptop,t,15,d,68,1,Kirsty ,iPhone,31,1585910443534,fe450180-e593-4bd7-9c3d-ab85d0256097
15364,#text-area-1,Computer/Laptop,t,19,e,69,1,Kirsty ,iPhone,167,1585910443716,fe450180-e593-4bd7-9c3d-ab85d0256097
15365,#text-area-1,Computer/Laptop,t,18,r,82,1,Kirsty ,iPhone,175,1585910443910,fe450180-e593-4bd7-9c3d-ab85d0256097
15366,#text-area-1,Computer/Laptop,t,18,e,69,1,Kirsty ,iPhone,198,1585910444127,fe450180-e593-4bd7-9c3d-ab85d0256097
15367,#text-area-1,Computer/Laptop,t,50,d,68,1,Kirsty ,iPhone,247,1585910444392,fe450180-e593-4bd7-9c3d-ab85d0256097
15368,#text-area-1,Computer/Laptop,t,41, ,32,1,Kirsty ,iPhone,116,1585910444558,fe450180-e593-4bd7-9c3d-ab85d0256097
15369,#text-area-1,Computer/Laptop,t,21,w,87,1,Kirsty ,iPhone,1735,1585910446335,fe450180-e593-4bd7-9c3d-ab85d0256097
15370,#text-area-1,Computer/Laptop,t,15,h,72,1,Kirsty ,iPhone,67,1585910446423,fe450180-e593-4bd7-9c3d-ab85d0256097
15371,#text-area-1,Computer/Laptop,t,43,t,84,1,Kirsty ,iPhone,220,1585910446658,fe450180-e593-4bd7-9c3d-ab85d0256097
15372,#text-area-1,Computer/Laptop,t,38,H,72,1,Kirsty ,iPhone,0,1585910433020,fe450180-e593-4bd7-9c3d-ab85d0256097
