id,box_id,device_type,false_character,hold_for,key_pressed,location,long_pressed_equivalent,name,platform,pressed_after,timestamp,user_id
920,#text-area-1,Computer/Laptop,f,67,h,72,1,Kedar,MacIntel,45,1584257314334,ef70b84c-be3d-434b-9cbe-55a19ce557a0
921,#text-area-1,Computer/Laptop,f,100,a,65,2,Kedar,MacIntel,8,1584257314409,ef70b84c-be3d-434b-9cbe-55a19ce557a0
922,#text-area-1,Computer/Laptop,f,71,u,85,1,Kedar,MacIntel,229,1584257314790,ef70b84c-be3d-434b-9cbe-55a19ce557a0
923,#text-area-1,Computer/Laptop,f,107,s,83,1,Kedar,MacIntel,19,1584257314880,ef70b84c-be3d-434b-9cbe-55a19ce557a0
924,#text-area-1,Computer/Laptop,f,87,e,69,1,Kedar,MacIntel,110,1584257315098,ef70b84c-be3d-434b-9cbe-55a19ce557a0
925,#text-area-1,Computer/Laptop,f,68,s,83,1,Kedar,MacIntel,141,1584257315326,ef70b84c-be3d-434b-9cbe-55a19ce557a0
926,#text-area-1,Computer/Laptop,f,99, ,32,1,Kedar,MacIntel,93,1584257315487,ef70b84c-be3d-434b-9cbe-55a19ce557a0
927,#text-area-1,Computer/Laptop,f,79,e,69,1,Kedar,MacIntel,331,1584257315917,ef70b84c-be3d-434b-9cbe-55a19ce557a0
928,#text-area-1,Computer/Laptop,f,45,v,86,1,Kedar,MacIntel,97,1584257316093,ef70b84c-be3d-434b-9cbe-55a19ce557a0
929,#text-area-1,Computer/Laptop,f,118,e,69,2,Kedar,MacIntel,62,1584257316200,ef70b84c-be3d-434b-9cbe-55a19ce557a0
930,#text-area-1,Computer/Laptop,f,58,y,89,2,Kedar,MacIntel,102,1584257316420,ef70b84c-be3d-434b-9cbe-55a19ce557a0
931,#text-area-1,Computer/Laptop,f,83,s,83,1,Kedar,MacIntel,138,1584257316616,ef70b84c-be3d-434b-9cbe-55a19ce557a0
932,#text-area-1,Computer/Laptop,f,49,n,78,2,Kedar,MacIntel,84,1584257316891,ef70b84c-be3d-434b-9cbe-55a19ce557a0
933,#text-area-1,Computer/Laptop,f,88,l,76,1,Kedar,MacIntel,161,1584257317101,ef70b84c-be3d-434b-9cbe-55a19ce557a0
934,#text-area-1,Computer/Laptop,f,68,e,69,1,Kedar,MacIntel,8,1584257317197,ef70b84c-be3d-434b-9cbe-55a19ce557a0
935,#text-area-1,Computer/Laptop,f,59, ,32,1,Kedar,MacIntel,60,1584257317325,ef70b84c-be3d-434b-9cbe-55a19ce557a0
936,#text-area-1,Computer/Laptop,f,91,l,76,1,Kedar,MacIntel,29,1584257317413,ef70b84c-be3d-434b-9cbe-55a19ce557a0
937,#text-area-1,Computer/Laptop,f,68,e,69,1,Kedar,MacIntel,12,1584257317516,ef70b84c-be3d-434b-9cbe-55a19ce557a0
