id,box_id,device_type,false_character,hold_for,key_pressed,location,long_pressed_equivalent,name,platform,pressed_after,timestamp,user_id
11652,#text-area-1,Computer/Laptop,t,79,j,74,1,ornelle Fonkoua,MacIntel,0,1585789930189,9a20df4e-6731-4430-9cb2-73c52cbac256
11653,#text-area-1,Computer/Laptop,f,81,Backspace,8,1,ornelle Fonkoua,MacIntel,674,1585789930942,9a20df4e-6731-4430-9cb2-73c52cbac256
11654,#text-area-1,Computer/Laptop,t,36,e,69,1,ornelle Fonkoua,MacIntel,4992,1585789936015,9a20df4e-6731-4430-9cb2-73c52cbac256
11655,#text-area-1,Computer/Laptop,t,101,i,73,1,ornelle Fonkoua,MacIntel,7,1585789936058,9a20df4e-6731-4430-9cb2-73c52cbac256
11656,#text-area-1,Computer/Laptop,t,91,m,77,1,ornelle Fonkoua,MacIntel,98,1585789936257,9a20df4e-6731-4430-9cb2-73c52cbac256
11657,#text-area-1,Computer/Laptop,t,83,Backspace,8,1,ornelle Fonkoua,MacIntel,311,1585789936659,9a20df4e-6731-4430-9cb2-73c52cbac256
11658,#text-area-1,Computer/Laptop,t,65,Backspace,8,1,ornelle Fonkoua,MacIntel,95,1585789936837,9a20df4e-6731-4430-9cb2-73c52cbac256
11659,#text-area-1,Computer/Laptop,f,80,Backspace,8,1,ornelle Fonkoua,MacIntel,96,1585789936998,9a20df4e-6731-4430-9cb2-73c52cbac256
11660,#text-area-1,Computer/Laptop,t,69,i,73,1,ornelle Fonkoua,MacIntel,217,1585789937295,9a20df4e-6731-4430-9cb2-73c52cbac256
11661,#text-area-1,Computer/Laptop,t,76,m,77,1,ornelle Fonkoua,MacIntel,117,1585789937481,9a20df4e-6731-4430-9cb2-73c52cbac256
11662,#text-area-1,Computer/Laptop,t,99, ,32,1,ornelle Fonkoua,MacIntel,64,1585789937626,9a20df4e-6731-4430-9cb2-73c52cbac256
11663,#text-area-1,Computer/Laptop,t,153,c,67,2,ornelle Fonkoua,MacIntel,357,1585789938082,9a20df4e-6731-4430-9cb2-73c52cbac256
11664,#text-area-1,Computer/Laptop,t,78,n,78,1,ornelle Fonkoua,MacIntel,99,1585789938334,9a20df4e-6731-4430-9cb2-73c52cbac256
11665,#text-area-1,Computer/Laptop,t,85,f,70,1,ornelle Fonkoua,MacIntel,963,1585789939375,9a20df4e-6731-4430-9cb2-73c52cbac256
11666,#text-area-1,Computer/Laptop,t,74,u,85,1,ornelle Fonkoua,MacIntel,46,1585789939506,9a20df4e-6731-4430-9cb2-73c52cbac256
